================================================================================
功能性隐藏指令归类统计报告 (细粒度 Opcode)
================================================================================

总处理/确认隐藏指令数: 54,281,388
Type A (完全未定义): 6,097,123
Type B (格式不符): 48,184,265

--------------------------------------------------------------------------------
Opcode 归类结果 (已忽略条件码):
唯一 Opcode 数量: 7,214
--------------------------------------------------------------------------------

Opcode       | Instruction Name                                             | Count
0x00E60001 | STRBT                                                        | 328,624
0x00210000 | STRT                                                         | 328,603
0x00210001 | STRT                                                         | 328,600
0x03200000 | UNDEFINED (Cat 001)                                          | 262,162
0x07A00000 | UNDEFINED (Cat 011)                                          | 232,227
0x07B00000 | UNDEFINED (Cat 011)                                          | 182,215
0x01F00000 | UNDEFINED (Cat 000)                                          | 126,210
0x05300000 | UNDEFINED (Cat 010)                                          | 97,140
0x05700000 | UNDEFINED (Cat 010)                                          | 95,825
0x00D00000 | UNDEFINED (Cat 000)                                          | 84,312
0x01900000 | UNDEFINED (Cat 000)                                          | 71,694
0x01800000 | UNDEFINED (Cat 000)                                          | 58,907
0x01C00000 | UNDEFINED (Cat 000)                                          | 58,397
0x01D00000 | UNDEFINED (Cat 000)                                          | 57,948
0x01E00000 | UNDEFINED (Cat 000)                                          | 57,462
0x00500000 | UNDEFINED (Cat 000)                                          | 50,051
0x01A00000 | UNDEFINED (Cat 000)                                          | 47,284
0x00060000 | MOV, MOVS (immediate)                                        | 42,597
0x00020000 | MOV, MOVS (immediate)                                        | 42,595
0x000A0000 | MOV, MOVS (immediate)                                        | 42,508
0x000E0000 | MOV, MOVS (immediate)                                        | 42,497
0x00040000 | MOV, MOVS (immediate)                                        | 42,474
0x00080000 | MOV, MOVS (immediate)                                        | 42,412
0x000C0000 | MOV, MOVS (immediate)                                        | 42,403
0x00000000 | MOV, MOVS (immediate)                                        | 42,380
0x01B00000 | UNDEFINED (Cat 000)                                          | 37,964
0x01700000 | UNDEFINED (Cat 000)                                          | 34,890
0x02100384 | VQRDMULH                                                     | 7,894
0x02200384 | VQRDMULH                                                     | 7,894
0x02100380 | VQRDMULH                                                     | 7,878
0x02200380 | VQRDMULH                                                     | 7,878
0x02100304 | VQRDMULH                                                     | 7,870
0x02200304 | VQRDMULH                                                     | 7,870
0x02100300 | VQDMULH                                                      | 7,868
0x02100304 | VQDMULH                                                      | 7,868
0x02200300 | VQDMULH                                                      | 7,868
0x02200304 | VQDMULH                                                      | 7,868
0x02100300 | VQRDMULH                                                     | 7,864
0x02200300 | VQRDMULH                                                     | 7,864
0x02100384 | VQDMULH                                                      | 7,862
0x02200384 | VQDMULH                                                      | 7,862
0x02100380 | VQDMULH                                                      | 7,856
0x02200380 | VQDMULH                                                      | 7,856
0x07E00000 | UNDEFINED (Cat 011)                                          | 5,231
0x07F00000 | UNDEFINED (Cat 011)                                          | 5,191
0x02900384 | VQDMLSL                                                      | 4,096
0x02A00384 | VQDMLSL                                                      | 4,096
0x02900184 | VQDMLAL                                                      | 4,096
0x02A00184 | VQDMLAL                                                      | 4,096
0x02900100 | VQDMULL                                                      | 3,840
0x02900104 | VQDMULL                                                      | 3,840
0x02900180 | VQDMULL                                                      | 3,840
0x02900184 | VQDMULL                                                      | 3,840
0x02A00100 | VQDMULL                                                      | 3,840
0x02A00104 | VQDMULL                                                      | 3,840
0x02A00180 | VQDMULL                                                      | 3,840
0x02A00184 | VQDMULL                                                      | 3,840
0x02900180 | VQDMLAL                                                      | 3,586
0x02900380 | VQDMLSL                                                      | 3,584
0x02A00380 | VQDMLSL                                                      | 3,584
0x02A00180 | VQDMLAL                                                      | 3,584
0x02900304 | VQDMLSL                                                      | 3,581
0x02900104 | VQDMLAL                                                      | 3,581
0x02A00104 | VQDMLAL                                                      | 3,581
0x02A00304 | VQDMLSL                                                      | 3,580
0x02900300 | VQDMLSL                                                      | 3,133
0x02900100 | VQDMLAL                                                      | 3,133
0x02A00100 | VQDMLAL                                                      | 3,133
0x02A00300 | VQDMLSL                                                      | 3,131
0x00B70001 | LDRHT                                                        | 2,816
0x00B70001 | LDRSBT                                                       | 2,814
0x00B70001 | LDRSHT                                                       | 2,804
0x00370001 | LDRHT                                                        | 2,689
0x00370001 | LDRSBT                                                       | 2,682
0x00370001 | LDRSHT                                                       | 2,679
0x00A70001 | STRHT                                                        | 2,663
0x00B70000 | LDRSBT                                                       | 2,634
0x00270001 | STRHT                                                        | 2,632
0x00B70000 | LDRHT                                                        | 2,616
0x00B70000 | LDRSHT                                                       | 2,614
0x0027000B | STRHT                                                        | 2,608
0x00270005 | STRHT                                                        | 2,603
0x0027000C | STRHT                                                        | 2,602
0x0027000A | STRHT                                                        | 2,594
0x0027000F | STRHT                                                        | 2,586
0x0027000E | STRHT                                                        | 2,579
0x0027000D | STRHT                                                        | 2,577
0x00270009 | STRHT                                                        | 2,571
0x00270006 | STRHT                                                        | 2,568
0x00270004 | STRHT                                                        | 2,567
0x00370000 | LDRSHT                                                       | 2,541
0x00A70004 | STRHT                                                        | 2,541
0x00270007 | STRHT                                                        | 2,538
0x00270008 | STRHT                                                        | 2,537
0x00A70003 | STRHT                                                        | 2,537
0x00370000 | LDRHT                                                        | 2,535
0x00B70006 | LDRSBT                                                       | 2,535
0x00B70007 | LDRSBT                                                       | 2,531
0x00B7000E | LDRSBT                                                       | 2,531
0x00B7000C | LDRHT                                                        | 2,530
0x00B7000E | LDRHT                                                        | 2,529
0x00B70008 | LDRSBT                                                       | 2,525
0x00B7000F | LDRHT                                                        | 2,524
0x00B7000B | LDRSHT                                                       | 2,524
0x00B7000C | LDRSBT                                                       | 2,523
0x00370000 | LDRSBT                                                       | 2,521
0x00B70007 | LDRSHT                                                       | 2,521
0x00B70008 | LDRSHT                                                       | 2,520
0x00B7000D | LDRSBT                                                       | 2,519
0x00B70007 | LDRHT                                                        | 2,519
0x00A70007 | STRHT                                                        | 2,519
0x00B7000A | LDRSHT                                                       | 2,518
0x00B7000C | LDRSHT                                                       | 2,517
0x00B70009 | LDRSBT                                                       | 2,516
0x00A70006 | STRHT                                                        | 2,516
0x00B70006 | LDRSHT                                                       | 2,514
0x00B7000F | LDRSHT                                                       | 2,514
0x00A70005 | STRHT                                                        | 2,514
0x00B70008 | LDRHT                                                        | 2,512
0x00A7000A | STRHT                                                        | 2,512
0x00B70005 | LDRSHT                                                       | 2,510
0x00B7000D | LDRSHT                                                       | 2,509
0x00B7000E | LDRSHT                                                       | 2,509
0x00B7000B | LDRHT                                                        | 2,507
0x00B7000A | LDRHT                                                        | 2,506
0x00A7000F | STRHT                                                        | 2,506
0x00B7000B | LDRSBT                                                       | 2,505
0x00A70009 | STRHT                                                        | 2,505
0x00A70002 | STRHT                                                        | 2,502
0x00A7000D | STRHT                                                        | 2,502
0x00B7000D | LDRHT                                                        | 2,501
0x00B7000A | LDRSBT                                                       | 2,499
0x00B70002 | LDRHT                                                        | 2,498
0x00A7000B | STRHT                                                        | 2,497
0x00A7000E | STRHT                                                        | 2,497
0x00B70005 | LDRSBT                                                       | 2,496
0x00B7000F | LDRSBT                                                       | 2,496
0x00270003 | STRHT                                                        | 2,496
0x00B70005 | LDRHT                                                        | 2,494
0x00B70009 | LDRHT                                                        | 2,493
0x00B70006 | LDRHT                                                        | 2,491
0x00B70004 | LDRHT                                                        | 2,490
0x00B70009 | LDRSHT                                                       | 2,490
0x00B70002 | LDRSHT                                                       | 2,488
0x00A7000C | STRHT                                                        | 2,486
0x00270002 | STRHT                                                        | 2,483
0x00B70004 | LDRSBT                                                       | 2,478
0x00B70002 | LDRSBT                                                       | 2,476
0x00A70008 | STRHT                                                        | 2,468
0x00B70004 | LDRSHT                                                       | 2,458
0x00B70003 | LDRSBT                                                       | 2,456
0x00B70003 | LDRHT                                                        | 2,446
0x00A70000 | STRHT                                                        | 2,446
0x0037000F | LDRSBT                                                       | 2,444
0x00370007 | LDRSBT                                                       | 2,440
0x00370004 | LDRHT                                                        | 2,430
0x0037000F | LDRSHT                                                       | 2,428
0x00370008 | LDRSBT                                                       | 2,427
0x00370008 | LDRSHT                                                       | 2,427
0x0037000E | LDRHT                                                        | 2,425
0x00B70003 | LDRSHT                                                       | 2,425
0x0037000E | LDRSBT                                                       | 2,424
0x00370006 | LDRSBT                                                       | 2,423
0x00370003 | LDRHT                                                        | 2,423
0x0037000D | LDRSBT                                                       | 2,421
0x0037000E | LDRSHT                                                       | 2,421
0x0037000D | LDRHT                                                        | 2,420
0x00370009 | LDRSHT                                                       | 2,420
0x00270000 | STRHT                                                        | 2,420
0x0037000C | LDRSBT                                                       | 2,419
0x00370005 | LDRHT                                                        | 2,419
0x0037000B | LDRSBT                                                       | 2,415
0x00370009 | LDRHT                                                        | 2,415
0x00370009 | LDRSBT                                                       | 2,414
0x0037000A | LDRHT                                                        | 2,413
0x0037000F | LDRHT                                                        | 2,412
0x0037000A | LDRSBT                                                       | 2,409
0x0037000A | LDRSHT                                                       | 2,409
0x0037000C | LDRSHT                                                       | 2,408
0x00370005 | LDRSBT                                                       | 2,407
0x0037000D | LDRSHT                                                       | 2,407
0x0037000C | LDRHT                                                        | 2,406
0x00370006 | LDRSHT                                                       | 2,405
0x00370004 | LDRSBT                                                       | 2,404
0x0037000B | LDRSHT                                                       | 2,404
0x00370002 | LDRHT                                                        | 2,403
0x00370006 | LDRHT                                                        | 2,403
0x0037000B | LDRHT                                                        | 2,402
0x00370007 | LDRHT                                                        | 2,401
0x00370008 | LDRHT                                                        | 2,401
0x00370004 | LDRSHT                                                       | 2,398
0x00370005 | LDRSHT                                                       | 2,398
0x00370003 | LDRSHT                                                       | 2,397
0x00370003 | LDRSBT                                                       | 2,395
0x00370007 | LDRSHT                                                       | 2,394
0x00370002 | LDRSBT                                                       | 2,391
0x00370002 | LDRSHT                                                       | 2,376
0x0EB00000 | UNDEFINED (Cat 111)                                          | 2,097
0x02100340 | VQDMULH                                                      | 1,916
0x02200340 | VQDMULH                                                      | 1,916
0x021003C4 | VQRDMULH                                                     | 1,914
0x021003C0 | VQRDMULH                                                     | 1,914
0x02100340 | VQRDMULH                                                     | 1,914
0x022003C4 | VQRDMULH                                                     | 1,914
0x02200340 | VQRDMULH                                                     | 1,914
0x022003C0 | VQRDMULH                                                     | 1,914
0x021003C0 | VQDMULH                                                      | 1,908
0x022003C0 | VQDMULH                                                      | 1,908
0x021003C4 | VQDMULH                                                      | 1,906
0x022003C4 | VQDMULH                                                      | 1,906
0x02100344 | VQRDMULH                                                     | 1,906
0x02200344 | VQRDMULH                                                     | 1,906
0x02100344 | VQDMULH                                                      | 1,902
0x02200344 | VQDMULH                                                      | 1,902
0x00B50001 | LDRSBT                                                       | 1,579
0x00B50001 | LDRSHT                                                       | 1,570
0x00B50001 | LDRHT                                                        | 1,567
0x00200001 | STRHT                                                        | 1,556
0x00B60001 | LDRHT                                                        | 1,553
0x00A30001 | STRHT                                                        | 1,549
0x0020000B | STRHT                                                        | 1,542
0x0020000C | STRHT                                                        | 1,536
0x00310001 | LDRSBT                                                       | 1,535
0x00B60001 | LDRSBT                                                       | 1,533
0x0020000F | STRHT                                                        | 1,533
0x0020000A | STRHT                                                        | 1,532
0x00200006 | STRHT                                                        | 1,531
0x00200007 | STRHT                                                        | 1,530
0x0020000E | STRHT                                                        | 1,529
0x00310001 | LDRSHT                                                       | 1,526
0x0020000D | STRHT                                                        | 1,524
0x00310001 | LDRHT                                                        | 1,523
0x00B20001 | LDRSHT                                                       | 1,523
0x00B40001 | LDRSBT                                                       | 1,520
0x00200005 | STRHT                                                        | 1,519
0x00200003 | STRHT                                                        | 1,516
0x00200009 | STRHT                                                        | 1,515
0x00B20001 | LDRHT                                                        | 1,511
0x00200004 | STRHT                                                        | 1,510
0x00200002 | STRHT                                                        | 1,507
0x00B10001 | LDRHT                                                        | 1,506
0x00B20001 | LDRSBT                                                       | 1,505
0x00200008 | STRHT                                                        | 1,505
0x00B60001 | LDRSHT                                                       | 1,502
0x00B40001 | LDRSHT                                                       | 1,492
0x00A60001 | STRHT                                                        | 1,491
0x00210001 | STRHT                                                        | 1,488
0x00A50001 | STRHT                                                        | 1,487
0x00A10001 | STRHT                                                        | 1,485
0x00B00001 | LDRSHT                                                       | 1,484
0x00300001 | LDRSBT                                                       | 1,483
0x00B00001 | LDRHT                                                        | 1,483
0x00B30001 | LDRHT                                                        | 1,481
0x00B40001 | LDRHT                                                        | 1,478
0x00B30001 | LDRSBT                                                       | 1,477
0x00B10001 | LDRSBT                                                       | 1,475
0x00B30001 | LDRSHT                                                       | 1,474
0x00330001 | LDRHT                                                        | 1,472
0x00330001 | LDRSHT                                                       | 1,472
0x00330001 | LDRSBT                                                       | 1,472
0x00300001 | LDRSHT                                                       | 1,471
0x00B00001 | LDRSBT                                                       | 1,470
0x00A40001 | STRHT                                                        | 1,469
0x00210005 | STRHT                                                        | 1,468
0x00B10001 | LDRSHT                                                       | 1,467
0x00300001 | LDRHT                                                        | 1,465
0x00320001 | LDRSBT                                                       | 1,465
0x00210006 | STRHT                                                        | 1,460
0x00A20001 | STRHT                                                        | 1,459
0x00A2000D | STRHT                                                        | 1,459
0x00A2000B | STRHT                                                        | 1,457
0x00A10007 | STRHT                                                        | 1,455
0x00B5000D | LDRSHT                                                       | 1,451
0x0021000C | STRHT                                                        | 1,450
0x0021000D | STRHT                                                        | 1,449
0x00A2000C | STRHT                                                        | 1,447
0x00260001 | STRHT                                                        | 1,444
0x00A1000E | STRHT                                                        | 1,443
0x00A2000A | STRHT                                                        | 1,443
0x00210009 | STRHT                                                        | 1,441
0x00A1000D | STRHT                                                        | 1,441
0x0031000C | LDRHT                                                        | 1,440
0x00A10006 | STRHT                                                        | 1,440
0x00A10008 | STRHT                                                        | 1,440
0x02800300 | VSHLL                                                        | 1,440
0x00A1000A | STRHT                                                        | 1,439
0x00A20005 | STRHT                                                        | 1,439
