运行统计报告
运行时间: Thu Jun 26 11:41:07 2025
总耗时: 4668.18秒
并行进程数: 20
成功任务: 256/256
失败任务: 0/256
平均单任务耗时: 351.60秒

详细结果:
第147轮: 成功, 耗时: 337.84秒
第148轮: 成功, 耗时: 204.98秒
第149轮: 成功, 耗时: 316.26秒
第150轮: 成功, 耗时: 516.96秒
第151轮: 成功, 耗时: 719.68秒
第152轮: 成功, 耗时: 258.91秒
第153轮: 成功, 耗时: 298.29秒
第154轮: 成功, 耗时: 213.15秒
第155轮: 成功, 耗时: 229.41秒
第156轮: 成功, 耗时: 298.08秒
第157轮: 成功, 耗时: 354.30秒
第158轮: 成功, 耗时: 426.04秒
第159轮: 成功, 耗时: 240.23秒
第160轮: 成功, 耗时: 427.41秒
第161轮: 成功, 耗时: 440.19秒
第162轮: 成功, 耗时: 360.95秒
第163轮: 成功, 耗时: 338.03秒
第164轮: 成功, 耗时: 206.33秒
第165轮: 成功, 耗时: 314.59秒
第166轮: 成功, 耗时: 514.04秒
第167轮: 成功, 耗时: 712.41秒
第168轮: 成功, 耗时: 259.38秒
第169轮: 成功, 耗时: 297.63秒
第170轮: 成功, 耗时: 213.01秒
第171轮: 成功, 耗时: 228.81秒
第172轮: 成功, 耗时: 298.61秒
第173轮: 成功, 耗时: 355.66秒
第174轮: 成功, 耗时: 420.93秒
第175轮: 成功, 耗时: 241.50秒
第176轮: 成功, 耗时: 422.92秒
第177轮: 成功, 耗时: 435.80秒
第178轮: 成功, 耗时: 364.06秒
第179轮: 成功, 耗时: 338.13秒
第180轮: 成功, 耗时: 205.36秒
第181轮: 成功, 耗时: 315.90秒
第182轮: 成功, 耗时: 508.24秒
第183轮: 成功, 耗时: 707.32秒
第184轮: 成功, 耗时: 259.59秒
第185轮: 成功, 耗时: 294.70秒
第186轮: 成功, 耗时: 215.33秒
第187轮: 成功, 耗时: 226.76秒
第188轮: 成功, 耗时: 293.71秒
第189轮: 成功, 耗时: 352.42秒
第190轮: 成功, 耗时: 424.34秒
第191轮: 成功, 耗时: 241.26秒
第192轮: 成功, 耗时: 426.33秒
第193轮: 成功, 耗时: 441.52秒
第194轮: 成功, 耗时: 369.94秒
第195轮: 成功, 耗时: 344.50秒
第196轮: 成功, 耗时: 206.99秒
第197轮: 成功, 耗时: 316.44秒
第198轮: 成功, 耗时: 512.69秒
第199轮: 成功, 耗时: 708.93秒
第200轮: 成功, 耗时: 257.27秒
第201轮: 成功, 耗时: 296.36秒
第202轮: 成功, 耗时: 214.99秒
第203轮: 成功, 耗时: 230.38秒
第204轮: 成功, 耗时: 301.18秒
第205轮: 成功, 耗时: 357.59秒
第206轮: 成功, 耗时: 424.21秒
第207轮: 成功, 耗时: 242.65秒
第208轮: 成功, 耗时: 425.47秒
第209轮: 成功, 耗时: 438.53秒
第210轮: 成功, 耗时: 360.90秒
第211轮: 成功, 耗时: 337.38秒
第212轮: 成功, 耗时: 203.41秒
第213轮: 成功, 耗时: 312.31秒
第214轮: 成功, 耗时: 508.15秒
第215轮: 成功, 耗时: 703.11秒
第216轮: 成功, 耗时: 259.23秒
第217轮: 成功, 耗时: 297.65秒
第218轮: 成功, 耗时: 212.30秒
第219轮: 成功, 耗时: 227.04秒
第220轮: 成功, 耗时: 299.50秒
第221轮: 成功, 耗时: 351.39秒
第222轮: 成功, 耗时: 422.34秒
第223轮: 成功, 耗时: 243.59秒
第224轮: 成功, 耗时: 425.57秒
第225轮: 成功, 耗时: 440.33秒
第226轮: 成功, 耗时: 363.27秒
第227轮: 成功, 耗时: 342.55秒
第228轮: 成功, 耗时: 204.28秒
第229轮: 成功, 耗时: 318.98秒
第230轮: 成功, 耗时: 493.99秒
第231轮: 成功, 耗时: 623.47秒
第232轮: 成功, 耗时: 259.82秒
第233轮: 成功, 耗时: 301.65秒
第234轮: 成功, 耗时: 214.35秒
第235轮: 成功, 耗时: 230.77秒
第236轮: 成功, 耗时: 299.16秒
